-0.131975	-0.084113i	+0.007825	-0.200276i	+0.050071	+0.088787i	+0.059625	-0.068236i	+0.707107	-0.707107i	+0.707107	-0.707107i	
-0.081597	+0.124980i	+0.046992	-0.005787i	+0.307462	+0.079869i	+0.070205	-0.022738i	-0.707107	-0.707107i	+0.707107	-0.707107i	
+0.707107	-0.707107i	+0.707107	-0.707107i	-0.031981	+0.069633i	-0.291179	+0.162166i	+0.123258	+0.182603i	+0.097119	-0.096851i	
-0.707107	-0.707107i	+0.707107	-0.707107i	+0.067155	+0.191595i	+0.002483	+0.159750i	+0.159775	+0.014222i	+0.113890	-0.097623i	

-0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	
-0.707107	+0.707107i	+0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	
+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	-0.707107i	
-0.707107	-0.707107i	+0.707107	-0.707107i	-0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	

-0.120095	-0.061300i	+0.009859	-0.197199i	-0.006180	+0.092151i	+0.065388	-0.127155i	+0.707107	-0.707107i	+0.707107	-0.707107i	
-0.107970	+0.158639i	+0.065071	-0.019274i	+0.440753	+0.176819i	+0.128338	-0.038589i	-0.707107	-0.707107i	+0.707107	-0.707107i	
+0.707107	-0.707107i	+0.707107	-0.707107i	-0.087564	-0.014952i	-0.383976	+0.212994i	+0.152279	+0.216187i	+0.124658	-0.142112i	
-0.707107	-0.707107i	+0.707107	-0.707107i	+0.026979	+0.236226i	+0.034097	+0.182691i	+0.152402	+0.028615i	+0.126696	-0.111189i	

-0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	
-0.707107	+0.707107i	+0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	
+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	-0.707107i	
-0.707107	-0.707107i	+0.707107	-0.707107i	-0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	

-0.113168	-0.044112i	+0.018785	-0.175699i	-0.020392	+0.065546i	+0.053778	-0.164298i	+0.707107	-0.707107i	+0.707107	-0.707107i	
-0.124448	+0.154290i	+0.060461	-0.040770i	+0.490108	+0.221844i	+0.166277	-0.035726i	-0.707107	-0.707107i	+0.707107	-0.707107i	
+0.707107	-0.707107i	+0.707107	-0.707107i	-0.112127	-0.051713i	-0.418798	+0.231447i	+0.175753	+0.238781i	+0.143589	-0.166770i	
-0.707107	-0.707107i	+0.707107	-0.707107i	+0.027555	+0.253951i	+0.047324	+0.185205i	+0.148939	+0.045440i	+0.130829	-0.111637i	

-0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	
-0.707107	+0.707107i	+0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	
+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	-0.707107i	
-0.707107	-0.707107i	+0.707107	-0.707107i	-0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	

+0.000000   	+0.000000   	+0.000000   	+0.000000   	+1.000000   	+1.000000   	
+0.000000   	+0.000000   	+0.000000   	+0.000000   	+1.000000   	+1.000000   	
+1.000000   	+1.000000   	+0.000000   	+0.000000   	+0.000000   	+0.000000   	
+1.000000   	+1.000000   	+0.000000   	+0.000000   	+0.000000   	+0.000000   	

