1 0.464970
2 0.434537
3 0.432453
4 0.432234
5 0.432274
6 0.432265
7 0.432265
8 0.432266
9 0.432266
10 0.432266
11 0.432266
12 0.432266
13 0.432266
14 0.432266
15 0.432266
16 0.432266
17 0.432266
18 0.432266
19 0.432266
20 0.432266
21 0.432266
22 0.432266
23 0.432266
24 0.432266
25 0.432266
26 0.432266
27 0.432266
28 0.432266
29 0.432266
30 0.432266
31 0.651571
32 0.477559
33 0.593553
34 0.489082
35 0.591386
36 0.500683
37 0.680996
38 100554.358318
39 42103401217352671840186662912.000000
40 191218387921799720503512032443973692406503104583267468543115635172687120489775104.000000
41 2483095745999366333598828724266289673156814089514127776116472092358290201950471931326862703066129956023269205015050674695160924885409541974786852050798735523840.000000
42 2010154756862574322771000418656237382397394820079198694842550477932564611838013236690656215122519372410766562454935845533420759213361966462384587353364512943989880823178956291582696861012582397259588951779891225140464807817866044818700032179615809927864576729153536.000000
43 inf
44 -nan
45 -nan
46 -nan
47 -nan
48 -nan
49 -nan
50 -nan
51 -nan
52 -nan
53 -nan
54 -nan
55 -nan
56 -nan
57 -nan
58 -nan
59 -nan
60 -nan
61 -nan
62 -nan
63 -nan
64 -nan
65 -nan
66 -nan
67 -nan
68 -nan
69 -nan
70 -nan
71 -nan
72 -nan
73 -nan
74 -nan
75 -nan
76 -nan
77 -nan
78 -nan
79 -nan
80 -nan
81 -nan
82 -nan
83 -nan
84 -nan
85 -nan
86 -nan
87 -nan
88 -nan
89 -nan
90 -nan
