1 0.997786
2 0.245264
3 0.234652
4 0.218734
5 0.207829
6 0.197559
7 0.190804
8 0.187370
9 0.185400
10 0.184310
11 0.995329
12 0.169889
13 0.158431
14 0.153809
15 0.151546
16 0.149984
17 0.147282
18 0.146761
19 0.147038
20 0.147184
21 0.996403
22 0.147819
23 0.136654
24 0.132145
25 0.131234
26 0.131771
27 0.131104
28 0.130469
29 0.130534
30 0.130908
31 0.996810
32 0.133219
33 0.126172
34 0.120313
35 0.120719
36 0.120931
37 0.120150
38 0.120003
39 0.120492
40 0.120492
41 0.997135
42 0.124365
43 0.116504
44 0.111084
45 0.111833
46 0.112630
47 0.112581
48 0.112354
49 0.112305
50 0.112533
51 0.996973
52 0.115853
53 0.109928
54 0.104899
55 0.105273
56 0.106169
57 0.105973
58 0.105892
59 0.105876
60 0.106087
61 0.997266
62 0.110840
63 0.104313
64 0.099235
65 0.099951
66 0.101009
67 0.100798
68 0.100537
69 0.100618
70 0.100928
71 0.997233
72 0.107487
73 0.098926
74 0.094124
75 0.095068
76 0.095801
77 0.095573
78 0.095736
79 0.095752
80 0.095898
81 0.997689
82 0.102295
83 0.093359
84 0.089242
85 0.090120
86 0.091357
87 0.091227
88 0.091016
89 0.091064
90 0.091162
91 0.997949
92 0.098372
93 0.088981
94 0.084928
95 0.084945
96 0.086344
97 0.086442
98 0.086540
99 0.086719
100 0.086784
