-145.494091	-351.322464i	+105.835269	-365.732209i	
+527.724833	-235.154617i	+559.099684	+146.512482i	
-326.002529	+958.645827i	-853.453590	+544.632788i	
-404.970357	-509.065574i	+1.744507	-650.255486i	
+82.954899	-76.412956i	+113.015734	-7.656265i	
-334.491523	+434.561244i	-533.484595	+130.812246i	
+217.029620	+127.690480i	+90.180620	+235.533428i	
-74.700136	-96.776619i	+1.061010	-121.452401i	
+28.775559	-164.653921i	+124.772388	-110.914207i	
-25.714520	+232.209495i	-164.929008	+165.217191i	
-316.157893	-438.694526i	+27.816317	-540.200806i	
+561.566339	-362.411056i	+665.520441	+66.992712i	
+92.891237	+224.868338i	-67.844272	+233.517803i	
-77.667684	-776.981424i	+425.747909	-655.252699i	
-380.867761	+2.997534i	-299.019900	-236.617346i	
+18.747964	-73.810556i	+60.709575	-46.290872i	
-92.767216	-134.959167i	+10.971075	-163.118556i	
-670.546102	-115.092481i	-452.272653	-509.306215i	
+744.479320	-252.644494i	+738.744710	+268.032622i	
+182.227583	+96.630968i	+81.714880	+189.019283i	
-166.199506	-516.115004i	+193.314925	-506.795810i	
+657.789264	-346.717624i	+729.888054	+140.497264i	
-413.967593	+520.309772i	-648.357422	+147.140000i	
+386.197559	+297.679419i	+115.072648	+473.826742i	
+287.694934	+3.871862i	+222.604392	+182.394897i	
+236.654102	+179.197407i	+73.333970	+288.073921i	
-104.440943	-449.351591i	+199.374988	-415.881468i	
-407.979867	+41.087116i	-343.546249	-222.799027i	
-505.258514	-330.869442i	-188.662806	-573.153740i	
+324.190459	-609.349871i	+633.265521	-273.435028i	
+394.846761	+134.743913i	+224.665360	+351.437915i	
+319.656663	-124.958824i	+327.211575	+102.271258i	
-234.760854	-114.561354i	-112.199542	-235.350823i	
+568.197662	-592.361132i	+813.739200	-107.730620i	
+277.636004	-88.320677i	+271.352665	+104.327776i	
+186.517948	+366.299490i	-82.855673	+402.726586i	
-196.385231	-280.966279i	+22.134608	-342.469098i	
-805.575716	+246.451426i	-783.268944	-311.522298i	
+574.399998	-317.074034i	+645.815220	+110.619996i	
+174.752630	+57.356727i	+101.521329	+154.469105i	
+550.264889	+309.680127i	+236.649363	+585.561568i	
-595.053694	+69.111925i	-508.412961	-318.001251i	
-129.807990	+246.191200i	-254.697890	+111.971521i	
-220.581501	-586.186403i	+194.818405	-594.822454i	
-175.938726	-90.929543i	-79.390535	-181.293785i	
+276.398139	+206.904433i	+86.534352	+334.832517i	
+96.450441	+253.933793i	-83.944958	+258.194503i	
+42.370869	-127.306425i	+112.794486	-73.093259i	
-334.460612	-77.784781i	-212.504116	-269.401260i	
-40.250509	-265.765959i	+133.926548	-232.464639i	
-249.303490	+616.107287i	-578.995954	+324.678530i	
-256.692371	-352.423046i	+20.147564	-435.334997i	
-215.842506	+514.052267i	-490.396355	+266.264081i	
+24.228500	-274.494862i	+190.563927	-199.338807i	
+346.147783	+113.929015i	+198.485789	+304.899146i	
-250.810660	+132.870878i	-279.071984	-53.076571i	
+560.250997	-151.595281i	+532.276702	+231.435211i	
-47.228987	+342.688395i	-251.061585	+237.958168i	
+51.130678	-641.822724i	+440.140493	-468.968404i	
-73.623222	-357.422034i	+166.532268	-324.178009i	
+19.209745	+150.935130i	-78.107981	+129.854585i	
-96.493141	+444.997207i	-352.536255	+286.804634i	
-31.594558	-625.830469i	+366.264257	-508.423132i	
+273.759688	-4.320109i	+216.806480	+167.769998i	
-357.127598	-254.962892i	-119.386957	-422.309199i	
+106.981362	-23.825790i	+97.361513	+47.029510i	
-207.307931	+333.548626i	-370.210395	+130.781710i	
+254.212896	+195.685321i	+75.823998	+311.895305i	
+332.090378	-102.613181i	+323.929065	+127.818938i	
+300.349306	-177.140325i	+344.723800	+48.656840i	
+770.044565	-220.688910i	+739.885786	+308.320459i	
-616.812903	-575.880939i	-121.651475	-834.637129i	
-99.907438	-438.855777i	+195.523060	-405.845686i	
+300.843209	-70.154789i	+279.337423	+132.900171i	
+136.855416	-413.752989i	+365.409846	-238.089435i	
-223.768433	+509.657795i	-493.199850	+258.285164i	
+79.809746	-80.319236i	+112.224591	-13.423357i	
+243.807085	-152.316366i	+286.454151	+33.697717i	
+73.768027	+333.436859i	-150.059330	+306.608605i	
-646.532558	-45.883653i	-476.116630	-439.776284i	
-202.925442	+57.250519i	-194.228016	-81.910392i	
+394.394142	-207.753184i	+437.430266	+84.049725i	
+504.374179	-806.122942i	+897.685573	-314.414736i	
+57.450877	+16.818244i	+34.066546	+49.160056i	
-62.012826	-119.990860i	+26.854616	-133.109680i	
+102.942889	+57.994455i	+44.261438	+109.253941i	
+180.056012	-134.082857i	+223.442211	+8.206696i	
+43.761658	-436.930016i	+307.166664	-313.916318i	
+14.580136	+237.016746i	-136.252784	+194.389725i	
+54.722896	+49.464771i	+11.653874	+72.671424i	
+652.565883	+79.652143i	+459.873589	+469.445488i	
+644.277781	+220.856324i	+364.092767	+574.144587i	
+94.723801	+438.456166i	-199.734343	+400.636381i	
+508.373757	-563.310254i	+748.474795	-122.610324i	
+210.851481	-170.644832i	+271.386836	-1.960002i	
-84.164357	+45.888613i	-94.189441	-16.871722i	
-267.696859	-58.087266i	-172.145390	-212.154317i	
+197.711628	+14.285531i	+145.488566	+134.549952i	
-633.999262	+27.820194i	-513.070214	-374.026289i	
-223.496121	-546.124834i	+166.655050	-565.722460i	

-0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	+0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	+0.707107i	+0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	+0.707107i	+0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	-0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	-nan	-nani	-nan	-nani	-nan	-nani	-nan	-nani	-nan	-nani	-nan	-nani	-nan	-nani	-nan	-nani	-nan	-nani	-nan	-nani	-0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	-0.707107	+0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	-0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	-0.707107	+0.707107i	+0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	-0.707107	+0.707107i	
+0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	-0.707107i	-0.707107	+0.707107i	+0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	+0.707107i	+0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	-nan	-nani	-nan	-nani	-nan	-nani	-nan	-nani	-nan	-nani	-nan	-nani	-nan	-nani	-nan	-nani	-nan	-nani	-nan	-nani	+0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	-0.707107i	-0.707107	+0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	-0.707107	-0.707107i	-0.707107	+0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	+0.707107i	+0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	-0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	+0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	+0.707107i	+0.707107	+0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	

-nan	-nani	-nan	-nani	
-nan	-nani	-nan	-nani	
